probe_id,scene_id,scene_family,direction,yaw_deg,distance_m,expected_direct_sample,detected_peak_sample,sample_offset,fit_window,raw_shape,raw_energy,raw_finite_nonzero,native_ls_error_deg,canonical_ls_error_deg,estimator_agreement_cosine,binaural_shape,binaural_energy,binaural_peak,binaural_finite,binaural_nonzero
r2_mp3d_17DRP5sb8fy_front_y0,mp3d.17DRP5sb8fy,MP3D,front,0.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.2297448015538754,True,90.0,0.0,1.0,"[2, 336]",0.3985532426633128,0.28172510862350464,True,True
r2_mp3d_17DRP5sb8fy_back_y45,mp3d.17DRP5sb8fy,MP3D,back,45.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.2297447593625644,True,45.000002908774405,89.99999588641487,0.9999999999999997,"[2, 336]",0.9482041172540419,0.7229071259498596,True,True
r2_mp3d_17DRP5sb8fy_left_y90,mp3d.17DRP5sb8fy,MP3D,left,90.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.2297448015538754,True,90.0,180.0,1.0,"[2, 336]",0.9482046516202449,0.7229074239730835,True,True
r2_mp3d_17DRP5sb8fy_right_y0,mp3d.17DRP5sb8fy,MP3D,right,0.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.22974480155387544,True,90.0,0.0,1.0,"[2, 336]",0.9482049790405249,0.7229073643684387,True,True
r2_mp3d_17DRP5sb8fy_front-left_y45,mp3d.17DRP5sb8fy,MP3D,front-left,45.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.2297448015538754,True,90.0,90.0,1.0,"[2, 336]",0.8240333292154494,0.6409599781036377,True,True
r2_mp3d_17DRP5sb8fy_front-right_y90,mp3d.17DRP5sb8fy,MP3D,front-right,90.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.22974476323543036,True,59.99999999999999,180.0,1.0000000000000002,"[2, 336]",0.49123849717576706,0.5193989276885986,True,True
r2_mp3d_1LXtFkjw3qL_front_y0,mp3d.1LXtFkjw3qL,MP3D,front,0.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.229744833718302,True,90.0,0.0,1.0,"[2, 336]",0.39855358539540486,0.2817252576351166,True,True
r2_mp3d_1LXtFkjw3qL_back_y45,mp3d.1LXtFkjw3qL,MP3D,back,45.0,1.25,87.46355685131195,,,,,,,,,,"[2, 336]",4.132621610084911e-12,1.5124968513191561e-06,True,True
r2_mp3d_1LXtFkjw3qL_left_y90,mp3d.1LXtFkjw3qL,MP3D,left,90.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.229744833718302,True,90.0,180.0,1.0,"[2, 336]",0.9482061176306523,0.7229074239730835,True,True
r2_mp3d_1LXtFkjw3qL_right_y0,mp3d.1LXtFkjw3qL,MP3D,right,0.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.22974470612087705,True,90.0,0.0,1.0,"[2, 336]",0.9482042652668874,0.722907304763794,True,True
r2_mp3d_1LXtFkjw3qL_front-left_y45,mp3d.1LXtFkjw3qL,MP3D,front-left,45.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.229744833718302,True,90.0,90.0,1.0,"[2, 336]",0.8240332885355349,0.6409600377082825,True,True
r2_mp3d_1LXtFkjw3qL_front-right_y90,mp3d.1LXtFkjw3qL,MP3D,front-right,90.0,1.25,87.46355685131195,80,-7.4635568513119495,"[48, 113]","[4, 2128]",0.22974481577534195,True,59.99999160312338,179.99998489520226,1.0,"[2, 336]",0.49123937539636964,0.5193989872932434,True,True
