episode_id,scene_id,scene_family,split,class_id,source_clip_id,base_clip_id,distance_m,azimuth_project_deg,elevation_project_deg,binaural_final_rms,foa_final_rms,direct_foa_status,human_listening_status,semantic_review_status
clsdoa_v1_pilot_004_ep_000561,replica.frl_apartment_1,Replica,train,7,PSELD-selected FSD50K:174467,fsd50k:174467,2.7699913046516267,157.5,7.533272075678038,0.013591027380353905,0.004665379048017632,PASS,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000589,mp3d.PX4nDJXEHrG,MP3D,train,7,DESED isolated foreground:417995,desed:eval:417995,1.3209183415250638,112.5,7.4426788561420345,0.030661947319295568,0.009884868634658941,PASS,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000641,replica.frl_apartment_1,Replica,train,8,PSELD-selected FSD50K:52758,fsd50k:52758,3.5330978084609943,-22.50000000000003,3.287347381436396,0.07694066547647571,0.02681323503755665,PASS,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000669,mp3d.5LpN3gDmAk7,MP3D,train,8,PSELD-selected FSD50K:70083,fsd50k:70083,1.0055632240453367,-22.5,0.0,0.014338096004549526,0.00571620460114536,UNAVAILABLE_ZERO_RIR,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000721,replica.office_0,Replica,train,9,PSELD-selected FSD50K:94213,fsd50k:94213,3.7977295349732847,-112.5,-2.103146355263823,0.048662002120881856,0.01734935544538534,PASS,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000749,mp3d.QUCTc6BB5sX,MP3D,train,9,PSELD-selected FSD50K:197130,fsd50k:197130,5.4013202869625445,22.5,-4.2681209895153875,0.014890446793204792,0.005326979405116556,UNAVAILABLE_ZERO_RIR,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000801,replica.apartment_2,Replica,train,10,DESED isolated foreground:12832,desed:train:12832,3.208284648020208,-67.50000000000001,-16.859259415659917,0.010046444666950177,0.003058252937090758,PASS,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000829,mp3d.XcA2TqTSSAj,MP3D,train,10,DESED isolated foreground:80115,desed:train:80115,3.428976671859509,22.5,-1.5581984978194572,0.006957485805306651,0.002659410456838858,PASS,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000881,replica.apartment_1,Replica,train,11,PSELD-selected FSD50K:212038,fsd50k:212038,1.46060173430602,67.5,0.0,0.028272905373344377,0.008226343274555965,PASS,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000909,mp3d.ARNzJeq3xxb,MP3D,train,11,PSELD-selected FSD50K:258148,fsd50k:258148,4.4266477876581805,-67.50000000000001,14.38847448908681,0.015321080990371959,0.004970587526729262,PASS,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000468,mp3d.1LXtFkjw3qL,MP3D,val,5,DESED isolated foreground:106436,desed:train:106436,4.4651570959679,112.5,51.61416537941575,2.679159609237108e-06,1.2091771304158231e-06,UNAVAILABLE_ZERO_RIR,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
clsdoa_v1_pilot_004_ep_000868,mp3d.1LXtFkjw3qL,MP3D,val,10,DESED isolated foreground:205016,desed:train:205016,4.623594693706671,-112.49999999999999,53.153328117512636,1.0862640188933707e-06,3.5678751252945804e-07,UNAVAILABLE_ZERO_RIR,PENDING - HUMAN CONTENT REVIEW REMAINS,PENDING - HUMAN CONTENT REVIEW REMAINS
