episode_id,scene_id,scene_family,yaw_deg,distance_m,elevation_deg,raw_native_status,raw_error,same_raw_max_diff,stored_roundtrip_max_diff,stored_repair_max_diff,wav_commutativity_max_diff,wav_commutativity_rms_diff,wav_rate,wav_shape,old_rir_shape,repaired_rir_shape,W_max_diff,Z_max_diff,horizontal_energy_relative_error,full_energy_relative_error,dtype,finite_nonzero,status
clsdoa_v1_pilot_004_ep_000481,replica.office_0,Replica,121.08798340944858,3.7977295349732847,-2.103146355263823,VALID,,7.450580596923828e-09,7.450580596923828e-09,0.0,9.313225746154785e-09,1.3728345433388468e-09,24000,"[120000, 4]","[4, 32488]","[4, 32488]",0.0,0.0,2.1249839541319457e-08,6.044213708640449e-09,float32,True,PASS
clsdoa_v1_pilot_004_ep_000509,mp3d.EDJbREhghzL,MP3D,-45.212465677186515,1.6114864311798702,-3.5910805390743152,VALID,,1.4901161193847656e-08,7.450580596923828e-09,0.0,2.2351741790771484e-08,1.4466350839179605e-09,24000,"[120000, 4]","[4, 4183]","[4, 4183]",0.0,0.0,2.8201749981450752e-08,9.872459491428213e-09,float32,True,PASS
clsdoa_v1_pilot_004_ep_000641,replica.frl_apartment_1,Replica,86.35424740358107,3.5330978084609943,3.287347381436396,VALID,,7.450580596923828e-09,1.4901161193847656e-08,0.0,2.2351741790771484e-08,3.007369927253878e-09,24000,"[120000, 4]","[4, 6164]","[4, 6164]",0.0,0.0,1.3739771992641188e-07,4.6018060431360364e-08,float32,True,PASS
clsdoa_v1_pilot_004_ep_000669,mp3d.5LpN3gDmAk7,MP3D,-26.34577312683099,1.0055632240453367,0.0,VALID,,9.313225746154785e-10,9.313225746154785e-10,0.0,6.28642737865448e-09,8.691984706859911e-10,24000,"[120000, 4]","[4, 31245]","[4, 31245]",0.0,0.0,2.2293123698049046e-08,6.415179350378518e-09,float32,True,PASS
clsdoa_v1_pilot_004_ep_000721,replica.office_0,Replica,121.08798340944858,3.7977295349732847,-2.103146355263823,VALID,,7.450580596923828e-09,7.450580596923828e-09,0.0,1.4901161193847656e-08,2.106513770352515e-09,24000,"[120000, 4]","[4, 32488]","[4, 32488]",0.0,0.0,2.1249839541319457e-08,6.044213708640449e-09,float32,True,PASS
clsdoa_v1_pilot_004_ep_000749,mp3d.QUCTc6BB5sX,MP3D,65.299409895269,5.4013202869625445,-4.2681209895153875,VALID,,6.984919309616089e-10,4.656612873077393e-10,0.0,4.6566128730773926e-09,5.505016891511573e-10,24000,"[120000, 4]","[4, 31920]","[4, 31920]",0.0,0.0,4.428312297944316e-08,1.3388447033252445e-08,float32,True,PASS
clsdoa_v1_pilot_004_ep_000801,replica.apartment_2,Replica,204.84926533269805,3.208284648020208,-16.859259415659917,VALID,,3.725290298461914e-09,7.450580596923828e-09,0.0,1.1175870895385742e-08,4.240616389299372e-10,24000,"[120000, 4]","[4, 29667]","[4, 29667]",0.0,0.0,2.875841074167839e-08,7.367420439970124e-09,float32,True,PASS
clsdoa_v1_pilot_004_ep_000829,mp3d.XcA2TqTSSAj,MP3D,72.43140197884776,3.428976671859509,-1.5581984978194572,VALID,,7.450580596923828e-09,7.450580596923828e-09,0.0,1.4901161193847656e-08,4.417947788579817e-10,24000,"[120000, 4]","[4, 14239]","[4, 14239]",0.0,0.0,8.360577516802393e-08,2.5073509862674548e-08,float32,True,PASS
clsdoa_v1_pilot_004_ep_000881,replica.apartment_1,Replica,7.9931462494296,1.46060173430602,0.0,VALID,,3.725290298461914e-09,3.725290298461914e-09,0.0,1.1175870895385742e-08,1.2251818252879292e-09,24000,"[120000, 4]","[4, 34460]","[4, 34460]",0.0,0.0,1.0363654822689517e-07,3.392311964853919e-08,float32,True,PASS
clsdoa_v1_pilot_004_ep_000909,mp3d.ARNzJeq3xxb,MP3D,78.66239952326228,4.4266477876581805,14.38847448908681,VALID,,1.1175870895385742e-08,7.450580596923828e-09,0.0,7.450580596923828e-09,7.769894488018883e-10,24000,"[120000, 4]","[4, 16205]","[4, 16205]",0.0,0.0,6.341674262980994e-08,2.1983829613100243e-08,float32,True,PASS
