pilot005_episode_id,class_id,source_dataset,source_clip_id,base_clip_id,scene_id,scene_family,split,distance_m,yaw_deg,azimuth_deg,elevation_deg,binaural_wav_path,foa_wav_path,reason_selected,near_silence,HUMAN_LISTENING_STATUS,semantic_correct,audible,artifact,comments
clsdoa_v1_pilot_005_ep_000481,6,DESED isolated foreground,DESED isolated foreground:60830,desed:train:60830,replica.office_0,Replica,train,3.7977295349732847,121.08798340944858,-112.5,-2.103146355263823,audio/binaural/clsdoa_v1_pilot_005_ep_000481.wav,audio/foa/clsdoa_v1_pilot_005_ep_000481.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000509,6,DESED isolated foreground,DESED isolated foreground:49385,desed:train:49385,mp3d.EDJbREhghzL,MP3D,train,1.6114864311798702,-45.212465677186515,-67.5,-3.5910805390743152,audio/binaural/clsdoa_v1_pilot_005_ep_000509.wav,audio/foa/clsdoa_v1_pilot_005_ep_000509.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000561,7,PSELD-selected FSD50K,PSELD-selected FSD50K:174467,fsd50k:174467,replica.frl_apartment_1,Replica,train,2.7699913046516267,-151.7431047455177,157.5,7.533272075678038,audio/binaural/clsdoa_v1_pilot_005_ep_000561.wav,audio/foa/clsdoa_v1_pilot_005_ep_000561.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000589,7,DESED isolated foreground,DESED isolated foreground:417995,desed:eval:417995,mp3d.PX4nDJXEHrG,MP3D,train,1.3209183415250638,-23.332215561887708,112.5,7.4426788561420345,audio/binaural/clsdoa_v1_pilot_005_ep_000589.wav,audio/foa/clsdoa_v1_pilot_005_ep_000589.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000641,8,PSELD-selected FSD50K,PSELD-selected FSD50K:52758,fsd50k:52758,replica.frl_apartment_1,Replica,train,3.5330978084609943,86.35424740358107,-22.50000000000003,3.287347381436396,audio/binaural/clsdoa_v1_pilot_005_ep_000641.wav,audio/foa/clsdoa_v1_pilot_005_ep_000641.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000669,8,PSELD-selected FSD50K,PSELD-selected FSD50K:70083,fsd50k:70083,mp3d.5LpN3gDmAk7,MP3D,train,1.0055632240453367,-26.34577312683099,-22.5,0.0,audio/binaural/clsdoa_v1_pilot_005_ep_000669.wav,audio/foa/clsdoa_v1_pilot_005_ep_000669.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000721,9,PSELD-selected FSD50K,PSELD-selected FSD50K:94213,fsd50k:94213,replica.office_0,Replica,train,3.7977295349732847,121.08798340944858,-112.5,-2.103146355263823,audio/binaural/clsdoa_v1_pilot_005_ep_000721.wav,audio/foa/clsdoa_v1_pilot_005_ep_000721.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000749,9,PSELD-selected FSD50K,PSELD-selected FSD50K:197130,fsd50k:197130,mp3d.QUCTc6BB5sX,MP3D,train,5.4013202869625445,65.299409895269,22.5,-4.2681209895153875,audio/binaural/clsdoa_v1_pilot_005_ep_000749.wav,audio/foa/clsdoa_v1_pilot_005_ep_000749.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000801,10,DESED isolated foreground,DESED isolated foreground:12832,desed:train:12832,replica.apartment_2,Replica,train,3.208284648020208,204.84926533269805,-67.50000000000001,-16.859259415659917,audio/binaural/clsdoa_v1_pilot_005_ep_000801.wav,audio/foa/clsdoa_v1_pilot_005_ep_000801.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000829,10,DESED isolated foreground,DESED isolated foreground:80115,desed:train:80115,mp3d.XcA2TqTSSAj,MP3D,train,3.428976671859509,72.43140197884776,22.5,-1.5581984978194572,audio/binaural/clsdoa_v1_pilot_005_ep_000829.wav,audio/foa/clsdoa_v1_pilot_005_ep_000829.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000881,11,PSELD-selected FSD50K,PSELD-selected FSD50K:212038,fsd50k:212038,replica.apartment_1,Replica,train,1.46060173430602,7.9931462494296,67.5,0.0,audio/binaural/clsdoa_v1_pilot_005_ep_000881.wav,audio/foa/clsdoa_v1_pilot_005_ep_000881.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000909,11,PSELD-selected FSD50K,PSELD-selected FSD50K:258148,fsd50k:258148,mp3d.ARNzJeq3xxb,MP3D,train,4.4266477876581805,78.66239952326228,-67.50000000000001,14.38847448908681,audio/binaural/clsdoa_v1_pilot_005_ep_000909.wav,audio/foa/clsdoa_v1_pilot_005_ep_000909.wav,frozen Step4F-R1/R2 representative set,false,PENDING,,,,
clsdoa_v1_pilot_005_ep_000468,5,DESED isolated foreground,DESED isolated foreground:106436,desed:train:106436,mp3d.1LXtFkjw3qL,MP3D,val,4.4651570959679,-230.73765034544124,112.5,51.61416537941575,audio/binaural/clsdoa_v1_pilot_005_ep_000468.wav,audio/foa/clsdoa_v1_pilot_005_ep_000468.wav,near-silence retained from frozen Step4F-R1/R2 set,true,PENDING,,,,
clsdoa_v1_pilot_005_ep_000868,10,DESED isolated foreground,DESED isolated foreground:205016,desed:train:205016,mp3d.1LXtFkjw3qL,MP3D,val,4.623594693706671,-5.737650345441239,-112.49999999999999,53.153328117512636,audio/binaural/clsdoa_v1_pilot_005_ep_000868.wav,audio/foa/clsdoa_v1_pilot_005_ep_000868.wav,near-silence retained from frozen Step4F-R1/R2 set,true,PENDING,,,,
